Library	Volumes
Library of Congress	34528818
Boston Pub. Lib. 	19090261
Harvard Univ.	16832952
New York Pub. Lib. 	16342365
Univ. of IL - Urb.-Champ.	13158748
Yale Univ.	12787962
UC - Berkeley	11545418
Columbia Univ.	11189036
Univ. of Michigan	10778736
Univ. of Texas - Austin	9990941
Univ. of Chicago	9837021
UC - L.A.	9151964
Pub. Lib. Cincinnati	8819759
Indiana Univ.	8677974
Stanford Univ.	8500000
Univ. of Wisconsin	8421198
Cornell Univ.	8173778
Princeton Univ.	7226744
Univ. of Washington	7203156
Univ. of Minnesota	7111311
